step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
227,CASH_OUT,467141.92,C702926488,0.0,0.0,C752859121,729400.03,1196541.95,0,0
235,PAYMENT,16322.89,C1113682023,0.0,0.0,M800851780,0.0,0.0,0,0
226,CASH_IN,369501.54,C1040061540,3543.0,373044.54,C1856928859,464871.37,95369.82,0,0
350,TRANSFER,1736164.31,C953879050,410.0,0.0,C1187676040,0.0,1736164.31,0,0
277,CASH_OUT,231902.73,C1762859384,0.0,0.0,C1743597880,818541.82,1050444.55,0,0
155,PAYMENT,1794.81,C495409383,20197.0,18402.19,M1039655416,0.0,0.0,0,0
382,PAYMENT,12192.1,C430319354,124963.0,112770.9,M1167541021,0.0,0.0,0,0
404,CASH_OUT,31283.56,C1686832419,0.0,0.0,C1252392082,1028334.48,1059618.04,0,0
213,TRANSFER,320675.03,C540551149,148399.0,0.0,C1392177046,0.0,320675.03,0,0
335,PAYMENT,1952.67,C1929620439,11147.0,9194.33,M1669384786,0.0,0.0,0,0
1,CASH_OUT,2806.0,C2101527076,2806.0,0.0,C1007251739,26202.0,0.0,1,0
45,CASH_OUT,58344.56,C1342935628,0.0,0.0,C1318550066,114919.58,173264.14,0,0
207,PAYMENT,10577.53,C1208215981,98046.49,87468.96,M685087327,0.0,0.0,0,0
186,CASH_OUT,280312.05,C1579106398,0.0,0.0,C1649115371,573137.17,853449.22,0,0
283,PAYMENT,2952.97,C1960312041,50963.0,48010.03,M1853812634,0.0,0.0,0,0
283,CASH_OUT,131866.85,C383094406,0.0,0.0,C245561707,825332.4,957199.26,0,0
181,TRANSFER,708354.99,C1487037110,19374.0,0.0,C1251792727,913241.75,1918632.8,0,0
38,CASH_OUT,360688.3,C62190783,360688.3,0.0,C1187610031,0.0,360688.3,1,0
38,PAYMENT,15192.99,C1112713048,231.0,0.0,M323682321,0.0,0.0,0,0
393,CASH_OUT,164718.57,C1031930490,104207.12,0.0,C1472638331,1952739.03,2117457.59,0,0
149,TRANSFER,17569.42,C767812247,17569.42,0.0,C263239858,0.0,0.0,1,0
258,TRANSFER,2684142.41,C1988413338,2684142.41,0.0,C627945196,0.0,0.0,1,0
179,PAYMENT,8604.14,C779330514,0.0,0.0,M818207172,0.0,0.0,0,0
211,CASH_OUT,4042.74,C1614689236,0.0,0.0,C2052446811,5554966.58,5559009.32,0,0
161,PAYMENT,8778.42,C779132888,650314.85,641536.43,M84440406,0.0,0.0,0,0
13,CASH_OUT,406493.79,C1573495477,442897.27,36403.49,C192147378,711463.18,1247793.14,0,0
302,CASH_OUT,97753.69,C2137611556,336.0,0.0,C14880839,0.0,97753.69,0,0
260,PAYMENT,7742.66,C479543710,175093.06,167350.4,M1128354718,0.0,0.0,0,0
133,CASH_OUT,117089.17,C1073072308,0.0,0.0,C1508569283,1061206.28,1178295.44,0,0
398,CASH_OUT,244668.94,C746892866,147990.0,0.0,C13103757,0.0,244668.94,0,0
377,PAYMENT,4297.08,C701462279,357707.49,353410.41,M504537198,0.0,0.0,0,0
157,CASH_IN,14011.43,C2098619483,169014.0,183025.43,C820132790,579929.58,565918.14,0,0
163,CASH_OUT,69465.63,C299214765,148.0,0.0,C1585626442,258071.28,327536.91,0,0
211,PAYMENT,5819.86,C681574936,0.0,0.0,M1918490690,0.0,0.0,0,0
209,PAYMENT,59730.14,C302836348,0.0,0.0,M1666958663,0.0,0.0,0,0
514,CASH_OUT,14838.3,C412006412,44456.09,29617.79,C1833161193,759178.35,774016.65,0,0
583,CASH_OUT,459378.91,C1292819239,459378.91,0.0,C1301956941,1277879.14,1737258.05,1,0
42,CASH_OUT,119105.55,C616163597,112123.0,0.0,C2085557552,1084997.41,1204102.97,0,0
690,TRANSFER,66643.99,C1502782512,66643.99,0.0,C41452857,0.0,0.0,1,0
394,TRANSFER,221822.61,C2118733679,265856.0,44033.39,C1568218425,220471.27,442293.88,0,0
184,TRANSFER,327663.16,C942442475,0.0,0.0,C1598628354,973192.45,1300855.61,0,0
44,CASH_OUT,122982.5,C650524676,37920.39,0.0,C1810043919,1779987.09,1902969.59,0,0
331,TRANSFER,475490.05,C822832593,11074.0,0.0,C1544558297,1923100.42,2398590.47,0,0
227,CASH_OUT,252544.63,C1574844804,0.0,0.0,C1104912142,6287369.66,6539914.3,0,0
18,CASH_OUT,269455.02,C199291506,197.0,0.0,C554463241,0.0,534034.35,0,0
165,CASH_IN,300753.7,C318514316,4352970.82,4653724.52,C1268021074,849797.05,549043.35,0,0
171,CASH_OUT,2754740.54,C52657218,2754740.54,0.0,C1861630818,1767824.71,4522565.25,1,0
542,CASH_IN,574821.99,C2088680209,5239334.1,5814156.09,C290787725,2414558.25,1839736.26,0,0
354,CASH_IN,53331.81,C1533349336,11236850.79,11290182.6,C627087719,1455391.23,1402059.41,0,0
15,PAYMENT,3420.52,C1584034307,245846.0,242425.48,M1739395892,0.0,0.0,0,0
45,PAYMENT,6867.66,C1577073404,43086.0,36218.34,M1969351443,0.0,0.0,0,0
39,CASH_OUT,53460.64,C876995829,0.0,0.0,C1245260338,170226.71,223687.35,0,0
375,PAYMENT,20743.23,C48115168,61420.84,40677.62,M726079838,0.0,0.0,0,0
158,CASH_OUT,365856.04,C1801121197,27473.12,0.0,C228353157,7668675.72,8034531.76,0,0
306,CASH_IN,207149.9,C503369060,434.0,207583.9,C1448173846,0.0,0.0,0,0
520,TRANSFER,2871898.5,C955101286,2871898.5,0.0,C1205312123,0.0,0.0,1,0
177,PAYMENT,4721.13,C403624323,0.0,0.0,M1880256517,0.0,0.0,0,0
42,CASH_OUT,79374.81,C489369961,70435.0,0.0,C1927907475,0.0,0.0,0,0
237,TRANSFER,10000000.0,C1849235881,23924102.18,13924102.18,C1877706055,0.0,0.0,1,0
310,CASH_IN,56954.38,C613803370,11905539.23,11962493.6,C575923282,1658325.78,1601371.4,0,0
595,TRANSFER,378451.85,C122512397,0.0,0.0,C1449347615,1892428.9,2270880.75,0,0
249,CASH_IN,5730.96,C484004266,462953.0,468683.96,C597508284,13963782.63,13958051.66,0,0
646,TRANSFER,10000000.0,C24775045,20399045.08,10399045.08,C494244936,0.0,0.0,1,0
36,PAYMENT,354.81,C203850016,255.0,0.0,M900366080,0.0,0.0,0,0
20,TRANSFER,583796.1,C100804204,0.0,0.0,C1386792577,1166083.96,1749880.06,0,0
18,CASH_OUT,409289.17,C1501898952,0.0,0.0,C521569199,999358.21,1408647.39,0,0
253,CASH_OUT,155197.05,C630234429,0.0,0.0,C526912228,1229709.8,1579815.32,0,0
106,TRANSFER,8999.56,C634089015,8999.56,0.0,C1337869699,0.0,0.0,1,0
132,PAYMENT,16617.28,C2145857803,0.0,0.0,M668578378,0.0,0.0,0,0
398,CASH_OUT,259478.68,C1482794471,13652.0,0.0,C247334655,2458593.59,2718072.27,0,0
15,PAYMENT,11919.64,C278185598,149563.08,137643.44,M220948547,0.0,0.0,0,0
408,TRANSFER,415201.94,C996612586,0.0,0.0,C1709360854,824364.57,1239566.51,0,0
308,CASH_OUT,38094.38,C1911944126,40337.0,2242.62,C515688502,661103.22,699197.59,0,0
131,CASH_OUT,906220.67,C941705595,877.0,0.0,C274355883,33780.77,940001.44,0,0
139,PAYMENT,9569.77,C1832157957,0.0,0.0,M2074668011,0.0,0.0,0,0
251,CASH_OUT,374717.04,C1183303841,302032.0,0.0,C1387795103,222937.64,597654.69,0,0
47,CASH_IN,25788.33,C997453110,3256691.37,3282479.7,C775886014,286908.77,261120.44,0,0
353,PAYMENT,20053.84,C309046802,10498.0,0.0,M1998929276,0.0,0.0,0,0
523,CASH_OUT,951451.17,C1441123126,951451.17,0.0,C667076483,1430666.86,2382118.03,1,0
478,PAYMENT,17732.27,C1163657416,118019.0,100286.73,M27950226,0.0,0.0,0,0
378,CASH_OUT,47568.22,C640537997,506.0,0.0,C904159690,1010.0,48578.22,0,0
40,TRANSFER,26950.06,C575969831,26950.06,0.0,C220147588,0.0,0.0,1,0
30,TRANSFER,236947.25,C1273047168,236947.25,0.0,C1636242484,0.0,0.0,1,0
332,PAYMENT,11206.58,C367917673,69515.0,58308.42,M221178128,0.0,0.0,0,0
184,CASH_OUT,309373.19,C77770503,0.0,0.0,C1427289357,685860.26,995233.45,0,0
183,CASH_OUT,79181.63,C821485934,40994.0,0.0,C2091238282,81744.37,160926.0,0,0
155,TRANSFER,1568210.81,C2074822402,0.0,0.0,C913087778,2153601.03,3721811.84,0,0
401,DEBIT,3314.92,C111060576,197469.0,194154.08,C1928687698,208574.26,211889.17,0,0
352,PAYMENT,24319.67,C1101932247,27844.0,3524.33,M466842799,0.0,0.0,0,0
640,TRANSFER,1732090.28,C1731441733,1732090.28,0.0,C1865669810,0.0,0.0,1,0
286,CASH_OUT,170148.81,C351048546,9007.78,0.0,C974895161,182626.42,352775.23,0,0
352,PAYMENT,4411.18,C1626763755,297687.0,293275.82,M43200465,0.0,0.0,0,0
427,TRANSFER,3890627.92,C1289286413,3890627.92,0.0,C2143229891,0.0,0.0,1,0
374,CASH_OUT,298563.37,C1448217656,214794.0,0.0,C703210716,2352941.22,2651504.59,0,0
163,CASH_OUT,150606.03,C1542964998,0.0,0.0,C791717054,1215492.42,1548020.77,0,0
332,PAYMENT,2835.96,C2119887857,0.0,0.0,M576287754,0.0,0.0,0,0
370,PAYMENT,5002.26,C424004209,21344.0,16341.74,M260202520,0.0,0.0,0,0
163,PAYMENT,10411.1,C1567689358,0.0,0.0,M1542429515,0.0,0.0,0,0
156,CASH_OUT,256683.11,C700678085,0.0,0.0,C239700190,374154.87,630837.98,0,0
354,CASH_OUT,198606.3,C308028832,10884.0,0.0,C176634708,2722856.26,2921462.55,0,0
225,CASH_OUT,377301.4,C983075152,0.0,0.0,C2105287680,1019733.96,1397035.36,0,0
583,TRANSFER,759701.03,C382272679,759701.03,0.0,C1390800148,0.0,0.0,1,0
284,PAYMENT,615.68,C191119190,0.0,0.0,M2035233148,0.0,0.0,0,0
183,PAYMENT,8526.74,C1835064819,52982.0,44455.26,M914056779,0.0,0.0,0,0
341,TRANSFER,3011102.29,C1419528476,3011102.29,0.0,C273422649,0.0,0.0,1,0
94,CASH_OUT,171870.59,C51669312,32414.0,0.0,C1652098016,1361386.74,1533257.33,0,0
11,TRANSFER,3182543.52,C620458687,334387.17,0.0,C2137760777,194345.24,3726462.53,0,0
179,PAYMENT,4121.29,C593041853,2446.0,0.0,M1611088755,0.0,0.0,0,0
10,PAYMENT,5102.94,C2139131324,31538.0,26435.06,M1360287662,0.0,0.0,0,0
275,CASH_OUT,23163.95,C1625988048,14.0,0.0,C1118077131,1639945.29,1663109.24,0,0
379,CASH_IN,29146.82,C275637142,74703.0,103849.82,C404756832,639170.91,610024.09,0,0
378,CASH_IN,12561.32,C1353468408,20006852.66,20019413.98,C872703043,2634963.68,2622402.36,0,0
276,CASH_IN,382763.65,C1728426800,9939.0,392702.65,C1230755450,0.0,0.0,0,0
16,PAYMENT,17402.36,C217477783,762759.66,745357.29,M2117700698,0.0,0.0,0,0
225,CASH_OUT,230567.37,C1016642282,0.0,0.0,C699473379,1844410.94,2074978.32,0,0
165,CASH_OUT,115327.53,C561130930,899852.0,784524.47,C1092717433,821986.59,937314.12,0,0
326,CASH_OUT,345315.08,C1613046471,204510.0,0.0,C1026844575,0.0,345315.08,0,0
183,CASH_OUT,346326.08,C31149050,0.0,0.0,C446545226,427419.76,773745.84,0,0
155,PAYMENT,15528.88,C366892180,0.0,0.0,M1684857335,0.0,0.0,0,0
373,CASH_IN,283913.21,C293578760,9678955.9,9962869.12,C1467013347,7307436.0,7023522.78,0,0
281,PAYMENT,38000.68,C2024172560,0.0,0.0,M1427501825,0.0,0.0,0,0
306,PAYMENT,16874.35,C1550479881,0.0,0.0,M854699323,0.0,0.0,0,0
158,CASH_OUT,345014.48,C1126615656,254151.0,0.0,C1069781670,0.0,345014.48,0,0
131,CASH_OUT,2248584.96,C1701978189,2248584.96,0.0,C1864787656,44660.15,2293245.11,1,0
258,CASH_IN,197722.19,C200017219,8997794.28,9195516.46,C497002689,3769500.88,3571778.7,0,0
36,CASH_IN,376931.99,C550001749,6411499.28,6788431.27,C696171446,878653.86,501721.88,0,0
96,PAYMENT,13718.34,C693267589,0.0,0.0,M2043452961,0.0,0.0,0,0
381,PAYMENT,16353.28,C2124924848,6081.21,0.0,M1305310423,0.0,0.0,0,0
500,CASH_OUT,302087.0,C885643209,0.0,0.0,C407528881,416072.81,718159.81,0,0
399,CASH_OUT,295515.08,C1078501596,31311.0,0.0,C2145331614,943768.96,1239284.04,0,0
145,PAYMENT,33781.62,C1193729279,0.0,0.0,M2125046031,0.0,0.0,0,0
370,CASH_IN,68803.03,C851539429,61901.0,130704.03,C15237290,11087603.94,11018800.91,0,0
156,CASH_IN,117857.8,C519071560,39629.0,157486.8,C1371883076,0.0,0.0,0,0
41,CASH_OUT,356597.06,C1545777449,310.0,0.0,C895882992,448505.8,805102.86,0,0
10,TRANSFER,302087.0,C377432961,10701.0,0.0,C1403282300,0.0,225579.43,0,0
495,TRANSFER,197943.1,C1143038776,197943.1,0.0,C742185953,0.0,0.0,1,0
329,CASH_OUT,45656.24,C1220564184,0.0,0.0,C1448139180,1665271.48,1710927.72,0,0
251,CASH_IN,186441.32,C2135509724,44767.0,231208.32,C379689609,0.0,0.0,0,0
35,PAYMENT,1380.46,C1697387503,5080.0,3699.54,M1087476108,0.0,0.0,0,0
182,CASH_OUT,77573.62,C1124628101,0.0,0.0,C1723445094,1942232.02,2019805.64,0,0
42,CASH_IN,199337.22,C571368743,10560775.75,10760112.97,C2107589918,993799.24,1394106.9,0,0
303,CASH_IN,115503.18,C541289386,1691615.79,1807118.97,C1324548103,5747751.25,5632248.07,0,0
505,CASH_OUT,4553004.39,C485487495,4553004.39,0.0,C49397017,26260.25,4579264.63,1,0
130,CASH_OUT,219208.16,C806236164,21288.0,0.0,C1832803781,0.0,219208.16,0,0
601,CASH_OUT,93253.25,C714048857,93253.25,0.0,C1413631677,186617.76,279871.01,1,0
300,PAYMENT,1081.31,C1763706375,104692.0,103610.69,M199336645,0.0,0.0,0,0
355,PAYMENT,13836.06,C2086452972,0.0,0.0,M1153603254,0.0,0.0,0,0
212,CASH_OUT,138048.75,C1230373364,0.0,0.0,C573205507,519093.22,657141.98,0,0
565,CASH_OUT,335856.14,C222216742,19785.0,0.0,C537489435,1155936.37,1491792.51,0,0
35,TRANSFER,1369518.13,C1686098902,0.0,0.0,C2106061905,5702872.49,7072390.63,0,0
575,TRANSFER,193545.61,C1430180670,193545.61,0.0,C273255421,0.0,0.0,1,0
9,PAYMENT,6700.22,C1924768926,0.0,0.0,M1233603852,0.0,0.0,0,0
18,CASH_OUT,221236.33,C1779690293,353362.0,132125.67,C992991523,94124.57,335384.65,0,0
403,CASH_IN,424206.22,C2068405267,25.0,424231.22,C1374750015,5015224.46,4591018.23,0,0
25,TRANSFER,217231.0,C1527375688,217231.0,0.0,C658289217,0.0,0.0,1,0
589,CASH_IN,27925.81,C1680159554,30627.0,58552.81,C885380177,0.0,0.0,0,0
380,CASH_OUT,23874.07,C1906687565,69099.0,45224.93,C2100777391,0.0,23874.07,0,0
351,CASH_OUT,153537.08,C1759425060,39596.19,0.0,C1952958954,798419.84,951956.92,0,0
396,CASH_OUT,192081.9,C586916726,0.0,0.0,C930708129,3923256.87,4115338.77,0,0
379,PAYMENT,20132.59,C1334810522,80569.0,60436.41,M1614065519,0.0,0.0,0,0
276,CASH_OUT,818783.66,C835842894,0.0,0.0,C1287771476,3093734.63,3912518.29,0,0
202,PAYMENT,12521.7,C80460106,0.0,0.0,M1859088127,0.0,0.0,0,0
137,CASH_OUT,465612.39,C1331540012,0.0,0.0,C46185142,2683623.87,3149236.26,0,0
136,CASH_OUT,3263443.15,C252215515,3263443.15,0.0,C870722399,927721.34,4191164.5,1,0
253,PAYMENT,47478.58,C743423936,5235.0,0.0,M957687741,0.0,0.0,0,0
236,PAYMENT,3747.76,C355292044,0.0,0.0,M1379726892,0.0,0.0,0,0
164,CASH_OUT,56619.33,C1238701844,125.0,0.0,C673059012,0.0,56619.33,0,0
327,PAYMENT,44101.16,C340417359,27397.0,0.0,M666076162,0.0,0.0,0,0
469,PAYMENT,10193.64,C1437501634,178.0,0.0,M539967271,0.0,0.0,0,0
503,TRANSFER,251683.05,C1112029444,251683.05,0.0,C1819822165,0.0,0.0,1,0
203,PAYMENT,22125.16,C1839354816,0.0,0.0,M1178783710,0.0,0.0,0,0
263,CASH_OUT,119692.97,C2062888759,0.0,0.0,C1674864620,436534.78,556227.74,0,0
308,PAYMENT,12869.81,C1888753729,115261.73,102391.92,M1827302758,0.0,0.0,0,0
140,CASH_OUT,179963.12,C604788630,0.0,0.0,C339943778,251225.08,431188.2,0,0
592,CASH_OUT,157272.13,C1023266164,157272.13,0.0,C1938541482,957665.04,1114937.17,1,0
34,CASH_OUT,36551.15,C1243114667,0.0,0.0,C1324142708,1530818.45,1567369.6,0,0
374,PAYMENT,3971.8,C1831573639,0.0,0.0,M165123627,0.0,0.0,0,0
460,CASH_OUT,76548.48,C2032238862,76548.48,0.0,C881850638,2635449.31,2711997.79,1,0
396,PAYMENT,20459.63,C535164231,163235.0,142775.37,M93888911,0.0,0.0,0,0
500,TRANSFER,219024.9,C1552832036,167102.0,0.0,C2090708989,0.0,219024.9,0,0
378,PAYMENT,15697.85,C1724753801,207219.67,191521.82,M1980113414,0.0,0.0,0,0
95,PAYMENT,2517.33,C386677310,302.0,0.0,M219019791,0.0,0.0,0,0
530,CASH_IN,44984.8,C1064590215,9478362.9,9523347.7,C1122865616,1351191.06,1306206.26,0,0
228,CASH_IN,26029.71,C804422249,9967736.98,9993766.69,C1059828769,2996904.38,2970874.66,0,0
178,PAYMENT,9959.3,C808162599,24823.0,14863.7,M1668300997,0.0,0.0,0,0
346,CASH_OUT,347553.57,C482347344,0.0,0.0,C1163484153,2936521.7,3284075.27,0,0
401,PAYMENT,13100.12,C503285412,0.0,0.0,M175842138,0.0,0.0,0,0
161,CASH_IN,539196.06,C1975840159,1494471.09,2033667.16,C1752210314,802725.02,263528.95,0,0
275,PAYMENT,6989.34,C1681337646,10011.0,3021.66,M1331961395,0.0,0.0,0,0
322,CASH_OUT,129564.65,C1990865988,0.0,0.0,C953822758,134878.71,264443.37,0,0
56,CASH_OUT,82767.31,C1447707746,82767.31,0.0,C133385139,401173.22,483940.53,1,0
406,PAYMENT,19203.77,C1909326049,194776.01,175572.24,M630769587,0.0,0.0,0,0
400,CASH_OUT,359893.12,C963950725,24519.88,0.0,C1285169642,600494.94,960388.06,0,0
14,CASH_OUT,113205.92,C620834381,21073.0,0.0,C1337708863,15109.0,0.0,0,0
376,CASH_IN,149289.34,C1588640738,377.0,149666.34,C206814234,9764279.13,9614989.79,0,0
226,CASH_IN,81230.33,C716265039,41609.0,122839.33,C1744914845,101551.56,20321.23,0,0
188,CASH_OUT,310250.97,C773756274,0.0,0.0,C164296384,3453392.3,3763643.27,0,0
350,CASH_OUT,21571.67,C837707108,21729.0,157.33,C1172577346,0.0,21571.67,0,0
211,CASH_OUT,83965.4,C75441802,42268.0,0.0,C1051166061,0.0,83965.4,0,0
571,CASH_IN,245200.06,C1048330616,4624060.21,4869260.27,C925753329,570817.58,325617.52,0,0
684,TRANSFER,537025.01,C1744276151,537025.01,0.0,C38221870,0.0,0.0,1,0
233,CASH_IN,163514.26,C322118232,8023958.04,8187472.29,C1461028399,267910.9,104396.64,0,0
163,CASH_IN,107892.55,C949260518,52188.0,160080.55,C1328671702,1238711.29,1130818.74,0,0
234,CASH_OUT,352714.52,C939001810,0.0,0.0,C2113635316,1961342.44,2314056.96,0,0
20,PAYMENT,12972.63,C898749690,0.0,0.0,M755552570,0.0,0.0,0,0
440,TRANSFER,1912961.16,C1168684643,1912961.16,0.0,C1353360075,0.0,0.0,1,0
380,PAYMENT,17462.4,C568960247,82491.0,65028.6,M1450621315,0.0,0.0,0,0
132,TRANSFER,1645152.63,C1201104596,178.0,0.0,C323888816,2192199.43,3837352.07,0,0
9,PAYMENT,16932.23,C1569318735,266372.0,249439.77,M995240345,0.0,0.0,0,0
120,CASH_OUT,49571.87,C1966331810,49571.87,0.0,C112858734,312586.22,362158.08,1,0
260,CASH_OUT,72663.24,C1180784164,30568.3,0.0,C1749299393,1362688.45,1435351.69,0,0
280,CASH_IN,69361.63,C590594621,1548941.11,1618302.74,C1283197611,987939.57,918577.94,0,0
41,CASH_IN,154393.96,C538429741,13546995.18,13701389.15,C1728002003,385373.07,230979.1,0,0
355,PAYMENT,3776.22,C1979916550,15097.0,11320.78,M737436308,0.0,0.0,0,0
255,CASH_OUT,73443.5,C1639791498,100267.0,26823.5,C1008057379,3858346.96,3931790.45,0,0
133,CASH_IN,413111.3,C1815573864,3261.0,416372.3,C471901846,2293301.79,1880190.5,0,0
157,CASH_IN,364373.48,C1423783118,12170412.15,12534785.63,C1364671511,11012931.17,10648557.69,0,0
236,PAYMENT,19041.94,C330849987,86329.0,67287.06,M1415815272,0.0,0.0,0,0
274,CASH_OUT,119776.72,C750747204,75252.0,0.0,C1492324771,0.0,119776.72,0,0
19,TRANSFER,1448925.38,C401297958,0.0,0.0,C761069599,4591667.15,6040592.53,0,0
299,TRANSFER,638752.23,C1351054985,0.0,0.0,C1973463479,1323375.22,1962127.45,0,0
274,TRANSFER,97850.92,C197624735,0.0,0.0,C1252173705,119957.34,217808.26,0,0
164,CASH_OUT,148457.78,C2050094202,0.0,0.0,C682730605,270845.24,419303.03,0,0
352,PAYMENT,17705.11,C62669726,96472.9,78767.79,M1756625724,0.0,0.0,0,0
329,TRANSFER,338062.05,C1562312616,338062.05,0.0,C227222097,0.0,0.0,1,0
285,CASH_OUT,456507.05,C1905263940,0.0,0.0,C2116650207,702497.8,1159004.85,0,0
131,CASH_OUT,124016.55,C1443915736,55531.0,0.0,C976164557,0.0,124016.55,0,0
387,TRANSFER,245970.86,C174478461,245970.86,0.0,C1779281480,0.0,0.0,1,0
53,TRANSFER,3640271.29,C1285761418,3640271.29,0.0,C2028641482,0.0,0.0,1,0
279,TRANSFER,745428.65,C1726293037,173535.32,0.0,C1141492538,1023767.76,1769196.4,0,0
17,TRANSFER,831997.03,C1062351178,37721.25,0.0,C1438354844,7029192.27,7861189.3,0,0
279,PAYMENT,5488.02,C1780206776,0.0,0.0,M58195975,0.0,0.0,0,0
141,PAYMENT,860.05,C766042934,10426.0,9565.95,M937972763,0.0,0.0,0,0
404,PAYMENT,145.58,C787892935,0.0,0.0,M224218923,0.0,0.0,0,0
274,CASH_IN,49189.81,C915155434,19278636.01,19327825.82,C1644300008,800758.22,751568.4,0,0
399,CASH_IN,134474.1,C30516790,863417.27,997891.37,C26792471,3343329.99,3208855.89,0,0
300,CASH_OUT,213628.18,C1292379067,0.0,0.0,C2011960946,1136504.85,1350133.03,0,0
139,PAYMENT,2657.58,C1661829171,0.0,0.0,M67520605,0.0,0.0,0,0
378,CASH_OUT,74225.5,C2046318752,0.0,0.0,C123027543,6414472.1,6488697.6,0,0
358,CASH_IN,236481.47,C1777774904,5166233.38,5402714.85,C922163189,2193455.19,1956973.73,0,0
158,PAYMENT,7273.26,C1409503211,350924.96,343651.7,M1658887957,0.0,0.0,0,0
251,DEBIT,6541.05,C1175001955,51868.0,45326.95,C1934177848,82579.27,89120.33,0,0
43,PAYMENT,1737.39,C1797377672,11662.0,9924.61,M404049087,0.0,0.0,0,0
275,PAYMENT,348.34,C1757264343,21040.0,20691.66,M41278006,0.0,0.0,0,0
347,PAYMENT,15159.49,C1335161944,0.0,0.0,M1317425196,0.0,0.0,0,0
131,PAYMENT,13785.84,C1380982585,0.0,0.0,M1932872579,0.0,0.0,0,0
142,PAYMENT,7247.25,C989396089,5057.0,0.0,M1530327849,0.0,0.0,0,0
