alert_rank,row_index,fraud_score,is_fraud,reason_rank,feature,feature_value,shap_contribution
12,837545,0.9999999883144283,1,2,amount_to_balance_ratio,1.0,5.730091164017121
12,837545,0.9999999883144283,1,3,amount,9421857.0,4.071504360661581
12,837545,0.9999999883144283,1,4,dest_amount_to_prior_avg_ratio,9421857.0,3.238541265054863
13,886774,0.9999999883144283,1,1,orig_balance_mismatch,0.0,11.630004796539753
13,886774,0.9999999883144283,1,2,amount_to_balance_ratio,1.0,5.876520554083088
13,886774,0.9999999883144283,1,3,orig_emptied,1.0,3.570104890412255
13,886774,0.9999999883144283,1,4,amount,4152987.0,3.394179806887977
14,769009,0.9999999883144283,1,1,orig_balance_mismatch,0.0,11.748893335594197
14,769009,0.9999999883144283,1,2,amount_to_balance_ratio,1.0,5.730091164017121
14,769009,0.9999999883144283,1,3,amount,4900487.0,4.071504360661581
14,769009,0.9999999883144283,1,4,dest_amount_to_prior_avg_ratio,4900487.0,3.238541265054863
15,387351,0.9999999883144283,1,1,orig_balance_mismatch,0.0,11.748893335594197
15,387351,0.9999999883144283,1,2,amount_to_balance_ratio,1.0,5.730091164017121
15,387351,0.9999999883144283,1,3,amount,7041719.5,4.071504360661581
15,387351,0.9999999883144283,1,4,dest_amount_to_prior_avg_ratio,7041719.5,3.238541265054863
16,249052,0.9999999883144283,1,1,orig_balance_mismatch,0.0,11.748893335594197
16,249052,0.9999999883144283,1,2,amount_to_balance_ratio,1.0,5.730091164017121
16,249052,0.9999999883144283,1,3,amount,9097680.0,4.071504360661581
16,249052,0.9999999883144283,1,4,dest_amount_to_prior_avg_ratio,9097680.0,3.238541265054863
17,645777,0.9999999883144283,1,1,orig_balance_mismatch,0.0,11.748893335594197
17,645777,0.9999999883144283,1,2,amount_to_balance_ratio,1.0,5.730091164017121
17,645777,0.9999999883144283,1,3,amount,6250439.5,4.071504360661581
17,645777,0.9999999883144283,1,4,dest_amount_to_prior_avg_ratio,6250439.0,3.238541265054863
18,1065760,0.9999999883144283,1,1,orig_balance_mismatch,0.0,11.748893335594197
18,1065760,0.9999999883144283,1,2,amount_to_balance_ratio,1.0,5.730091164017121
18,1065760,0.9999999883144283,1,3,amount,10000000.0,4.071504360661581
18,1065760,0.9999999883144283,1,4,dest_amount_to_prior_avg_ratio,10000000.0,3.238541265054863
19,127299,0.9999999883144283,1,1,orig_balance_mismatch,0.0,11.748893335594197
19,127299,0.9999999883144283,1,2,amount_to_balance_ratio,1.0,5.730091164017121
19,127299,0.9999999883144283,1,3,amount,10000000.0,4.071504360661581
19,127299,0.9999999883144283,1,4,dest_amount_to_prior_avg_ratio,10000000.0,3.238541265054863
20,852050,0.9999999883144283,1,1,orig_balance_mismatch,0.0,11.748893335594197
20,852050,0.9999999883144283,1,2,amount_to_balance_ratio,1.0,5.730091164017121
20,852050,0.9999999883144283,1,3,amount,6274752.0,4.071504360661581
20,852050,0.9999999883144283,1,4,dest_amount_to_prior_avg_ratio,6274752.5,3.238541265054863
21,854155,0.99999998828177,1,1,orig_balance_mismatch,0.0,10.986399223252567
21,854155,0.99999998828177,1,2,amount_to_balance_ratio,1.0,5.667122908953059
21,854155,0.99999998828177,1,3,orig_emptied,1.0,3.8320834797801475
21,854155,0.99999998828177,1,4,amount,3260215.75,3.435961230031918
22,1201086,0.99999998828177,1,1,orig_balance_mismatch,0.0,10.986399223252567
22,1201086,0.99999998828177,1,2,amount_to_balance_ratio,1.0,5.667122908953059
22,1201086,0.99999998828177,1,3,orig_emptied,1.0,3.8320834797801475
22,1201086,0.99999998828177,1,4,amount,2480321.75,3.435961230031918
23,1591,0.9999999882645104,1,1,orig_balance_mismatch,0.0,11.036295818103676
23,1591,0.9999999882645104,1,2,amount_to_balance_ratio,1.0,5.5047409636266345
23,1591,0.9999999882645104,1,3,amount,10000000.0,4.083687021241384
23,1591,0.9999999882645104,1,4,dest_amount_to_prior_avg_ratio,10000000.0,3.260250219091507
24,947572,0.9999999882645104,1,1,orig_balance_mismatch,0.0,11.036295818103676
24,947572,0.9999999882645104,1,2,amount_to_balance_ratio,1.0,5.5047409636266345
24,947572,0.9999999882645104,1,3,amount,10000000.0,4.083687021241384
24,947572,0.9999999882645104,1,4,dest_amount_to_prior_avg_ratio,10000000.0,3.260250219091507
25,1036673,0.9999999882645104,1,1,orig_balance_mismatch,0.0,11.036295818103676
25,1036673,0.9999999882645104,1,2,amount_to_balance_ratio,1.0,5.5047409636266345
25,1036673,0.9999999882645104,1,3,amount,6870370.0,4.083687021241384
25,1036673,0.9999999882645104,1,4,dest_amount_to_prior_avg_ratio,6870369.5,3.260250219091507
26,356509,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.745352711723463
26,356509,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.582980885535126
26,356509,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,2561698.0,3.7286360610317577
26,356509,0.9999999882387528,1,4,amount,2561698.0,3.334264968650139
27,572512,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.700224746734849
27,572512,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.562545292697204
27,572512,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,3588175.25,3.7498520456583213
27,572512,0.9999999882387528,1,4,amount,3588175.0,3.309705635523368
28,396075,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.700224746734849
28,396075,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.562545292697204
28,396075,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,3399576.25,3.7498520456583213
28,396075,0.9999999882387528,1,4,amount,3399576.0,3.309705635523368
29,352527,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.745834534949847
29,352527,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.5824482065628285
29,352527,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,2871898.5,3.732646217521864
29,352527,0.9999999882387528,1,4,amount,2871898.5,3.3340605991229584
30,459913,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.875130298343104
30,459913,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.310690805369143
30,459913,0.9999999882387528,1,3,amount,5838803.0,4.047555449001578
30,459913,0.9999999882387528,1,4,dest_amount_to_prior_avg_ratio,5838803.0,3.7271471122056172
31,496501,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.875612121569489
31,496501,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.310158126396846
31,496501,0.9999999882387528,1,3,amount,7365107.0,4.0473510794743985
31,496501,0.9999999882387528,1,4,dest_amount_to_prior_avg_ratio,7365107.0,3.7311572686957235
32,540764,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.875612121569489
32,540764,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.310158126396846
32,540764,0.9999999882387528,1,3,amount,7240966.0,4.0473510794743985
32,540764,0.9999999882387528,1,4,dest_amount_to_prior_avg_ratio,7240966.0,3.7311572686957235
33,334359,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.745352711723463
33,334359,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.582980885535126
33,334359,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,2666139.5,3.7286360610317577
33,334359,0.9999999882387528,1,4,amount,2666139.5,3.334264968650139
34,789972,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.875612121569489
34,789972,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.310158126396846
34,789972,0.9999999882387528,1,3,amount,7807640.0,4.0473510794743985
34,789972,0.9999999882387528,1,4,dest_amount_to_prior_avg_ratio,7807640.0,3.7311572686957235
35,779224,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.745834534949847
35,779224,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.5824482065628285
35,779224,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,2895955.0,3.732646217521864
35,779224,0.9999999882387528,1,4,amount,2895955.0,3.3340605991229584
36,719443,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.875130298343104
36,719443,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.310690805369143
36,719443,0.9999999882387528,1,3,amount,4481768.5,4.047555449001578
36,719443,0.9999999882387528,1,4,dest_amount_to_prior_avg_ratio,4481768.5,3.7271471122056172
37,219494,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.875612121569489
37,219494,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.310158126396846
37,219494,0.9999999882387528,1,3,amount,5469911.0,4.0473510794743985
37,219494,0.9999999882387528,1,4,dest_amount_to_prior_avg_ratio,5469911.0,3.7311572686957235
38,225888,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.700224746734849
38,225888,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.562545292697204
38,225888,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,3965182.75,3.7498520456583213
38,225888,0.9999999882387528,1,4,amount,3965182.75,3.309705635523368
39,690590,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.875612121569489
39,690590,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.310158126396846
39,690590,0.9999999882387528,1,3,amount,5096946.5,4.0473510794743985
39,690590,0.9999999882387528,1,4,dest_amount_to_prior_avg_ratio,5096946.5,3.7311572686957235
40,246243,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.745352711723463
40,246243,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.582980885535126
40,246243,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,2938833.25,3.7286360610317577
40,246243,0.9999999882387528,1,4,amount,2938833.25,3.334264968650139
41,677895,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.745352711723463
41,677895,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.582980885535126
41,677895,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,4130371.75,3.7286360610317577
41,677895,0.9999999882387528,1,4,amount,4130371.75,3.334264968650139
42,648165,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.700224746734849
42,648165,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.562545292697204
42,648165,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,3339489.5,3.7498520456583213
42,648165,0.9999999882387528,1,4,amount,3339489.75,3.309705635523368
43,576212,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.875612121569489
43,576212,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.310158126396846
43,576212,0.9999999882387528,1,3,amount,7442005.0,4.0473510794743985
43,576212,0.9999999882387528,1,4,dest_amount_to_prior_avg_ratio,7442005.0,3.7311572686957235
44,280230,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.745834534949847
44,280230,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.5824482065628285
44,280230,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,2772748.25,3.732646217521864
44,280230,0.9999999882387528,1,4,amount,2772748.25,3.3340605991229584
45,281354,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.737846995581904
45,281354,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.563939649259544
45,281354,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,2344540.25,3.729439809609326
45,281354,0.9999999882387528,1,4,amount,2344540.25,3.414711713294046
46,279789,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.745834534949847
46,279789,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.5824482065628285
46,279789,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,3283696.0,3.732646217521864
46,279789,0.9999999882387528,1,4,amount,3283696.0,3.3340605991229584
47,584452,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.745834534949847
47,584452,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.5824482065628285
47,584452,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,2739869.5,3.732646217521864
47,584452,0.9999999882387528,1,4,amount,2739869.5,3.3340605991229584
48,603932,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.737846995581904
48,603932,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.563939649259544
48,603932,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,2163012.75,3.729439809609326
48,603932,0.9999999882387528,1,4,amount,2163012.75,3.414711713294046
49,621576,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.737846995581904
49,621576,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.563939649259544
49,621576,0.9999999882387528,1,3,dest_amount_to_prior_avg_ratio,2194533.75,3.729439809609326
49,621576,0.9999999882387528,1,4,amount,2194533.75,3.414711713294046
50,114607,0.9999999882387528,1,1,orig_balance_mismatch,0.0,11.875130298343104
50,114607,0.9999999882387528,1,2,amount_to_balance_ratio,1.0,6.310690805369143
50,114607,0.9999999882387528,1,3,amount,5087422.0,4.047555449001578
50,114607,0.9999999882387528,1,4,dest_amount_to_prior_avg_ratio,5087422.0,3.7271471122056172
